session_id,source_file,message_count,tool_call_count,bash_call_count,editor_call_count,unique_tools,unique_executables,first_action_seq,missing_command_errors,missing_module_errors,install_attempts,import_count,capability_probe_count,user_messages,assistant_messages,tool_messages,cwd,ds_session_id,agent_preset_initial,agent_preset_selected,input_tokens,output_tokens,prompt_tokens,completion_tokens,total_tokens
session-case-03,logs\cases\step0\session-case-03.jsonl,12,5,5,0,bash,"cat,echo,find,git,head,ls,python3,sed,sort,wc",3,0,0,0,3,0,1,6,5,/home/andyk/projects/测试用例/case-03-archive-extraction,session-f87f602c-6fe3-4920-807b-d3a33224637b,minimal,,,,,,
session-case-04,logs\cases\step0\session-case-04.jsonl,14,7,7,0,bash,"cat,echo,file,find,head,ls,pwd,python3,sed,sha256sum,sort,wc,xxd",3,0,0,0,3,0,1,6,7,/home/andyk/projects/测试用例/case-04-csv-statistics,session-a75d48bb-7d0b-47d7-9ebd-7f6de2002109,minimal,,,,,,
session-case-05,logs\cases\step0\session-case-05.jsonl,36,17,17,0,bash,"cat,echo,find,git,head,ls,pip,pwd,python,python3,sed,tail",3,0,1,2,13,0,1,18,17,/home/andyk/projects/测试用例/case-05-numerical-solving,session-b58082f1-9837-4f13-ab8a-5bbb4244dad8,minimal,,,,,,
session-case-06,logs\cases\step0\session-case-06.jsonl,10,4,4,0,bash,"cat,find,head,ls,printf,pwd,python3,sed,sort",3,0,0,0,3,0,1,5,4,/home/andyk/projects/测试用例/case-06-symbolic-computation,session-21446665-3285-4794-a3ef-5312ac681202,minimal,,,,,,
session-case-07,logs\cases\step0\session-case-07.jsonl,38,18,18,0,bash,"cat,chafa,echo,fc-list,file,find,git,grep,head,img2txt,jp2,ls,pip,pwd,python,python3,sed,sort,tail,true,viu,wc",3,0,3,2,23,4,1,19,18,/home/andyk/projects/测试用例/case-07-chart-rendering,session-24128dc2-8811-4bf7-acb6-0e2973c4133c,minimal,,,,,,
session-case-08,logs\cases\step0\session-case-08.jsonl,16,7,7,0,bash,"cat,echo,file,find,git,head,ls,pwd,python3,sed,sort",3,0,0,0,6,0,1,8,7,/home/andyk/projects/测试用例/case-08-image-processing,session-cf79a4f3-4692-4542-9fba-295859266037,minimal,,,,,,
session-case-09,logs\cases\step0\session-case-09.jsonl,23,11,11,0,bash,"cat,echo,find,git,head,ls,mkdir,pwd,python,python3,sed,sort,tail,tee,true",3,1,1,0,2,0,1,12,10,/home/andyk/projects/测试用例/case-09-test-diagnostics,session-6be2868f-4e26-4424-b49c-6bb99e4ec2a5,minimal,,,,,,
session-case-10,logs\cases\step0\session-case-10.jsonl,15,7,7,0,bash,"cat,echo,find,head,ls,make,pwd,python3,sed,sort,wc",3,0,0,0,0,0,1,7,7,/home/andyk/projects/测试用例/case-10-native-build,session-8eb356af-ee9b-4b6f-bcd1-8788a9cf2ea4,minimal,,,,,,
session-case-11,logs\cases\step0\session-case-11.jsonl,103,51,51,0,bash,"apt-cache,apt-get,cat,cd,chmod,cp,df,dpkg-deb,du,echo,export,file,find,git,grep,head,id,ldconfig,ldd,libreoffice,ls,mkdir,mount,od,pandoc,pdfimages,pdfinfo,pdflatex,pdftotext,pip,pwd,pypandoc,python,python3,rm,sed,set,sort,stat,tail,touch,true,uniq,wc,weasyprint,which,wkhtmltopdf,xelatex",3,1,0,3,14,9,1,52,50,/home/andyk/projects/测试用例/case-11-document-conversion,session-e8bcac96-260b-4927-a3d6-bf2ad7f8e17e,minimal,,,,,,
session-case-12,logs\cases\step0\session-case-12.jsonl,24,11,11,0,bash,"cat,chmod,echo,find,git,grep,head,ls,ps,pwd,python3,sed,sha256sum,sort,ss,tail,true",3,0,0,0,16,0,1,12,11,/home/andyk/projects/测试用例/case-12-local-http-json,session-12c00ce3-5cc4-41be-baec-8b289c9d3e7e,minimal,,,,,,
双叉臂测试-step0,logs\双叉臂测试-step0.jsonl,212,106,105,0,"bash,vision_toolkit_activate","cat,cd,chafa,echo,google-chrome,grep,head,kill,ls,node,pip,pkill,pwd,python3,rm,sed,sleep,tail,tesseract,timeout,true,wc,which",3,0,1,3,89,8,1,107,104,/home/andyk/projects/测试用,session-0e1a356e-b9a5-418c-9473-98a7851704c3,minimal,,,,,,
双叉臂测试,logs\双叉臂测试.jsonl,141,70,69,0,"bash,vision_toolkit_activate","apt-get,cat,cd,echo,google-chrome,grep,head,id,kill,ls,node,pip,pwd,python3,rm,sed,sleep,tail,timeout,true,wc,which",3,1,5,5,40,13,1,71,69,/home/andyk/projects/测试用,session-a8157e06-0059-44de-8e71-6ed42ec6197d,anchored-standard,minimal,,,,,
